Id,Customer ID,Name,Birth Date,Phone No.,Email Id,Credit card,Card Expiry,Address,Zip Code,City,State,Country,Year,Aadhar,Time
1,0DAC1DAC9,Tracy Collins,15-08-1998,487647593,TracyCollins@yahoo.com,4219489241157811,05/28,H.No. 93 Khare Circle,786585,Saharsa,Himachal Pradesh,India,2011,416097535130,19:56:43
2,0BDE3BDE0,Jessica Castillo,26-06-2000,1158714841,JessicaCastillo@gmail.com,349894719659340,06/25,094- Banerjee Chowk,234568,Bikaner,Chhattisgarh,India,2010,586848339691,19:21:36
3,1ACE0ACE4,Nancy Smith,27-04-1994,1591795330,NancySmith@hotmail.com,4352560123098910139,02/32,15- Badami Zila,234528,Jammu,Goa,India,2022,473008691411,20:47:03
4,7BBE1BBE0,James Chandler,09-04-1982,870916345,JamesChandler@hotmail.com,30230225841979,04/25,69- Dugal Circle,234528,Munger,Uttarakhand,India,2021,428071508421,18:07:07
5,4BFC7BFC8,Mr. Ryan Cox,04-08-1989,5992466109,Mr.RyanCox@gmail.com,3523376960696025,11/29,H.No. 27- Wali Circle,879676,Kishanganj,Punjab,India,2010,175470638123,05:04:10
6,4FBE9FBE0,Gabriel Cole,13-07-1984,89131934,GabrielCole@hotmail.com,3517610471428512,12/24,H.No. 003 Mallick Road,394857,Ambarnath,Odisha,India,2010,376582369405,16:49:54
7,1BFB1BFB0,Deborah Mendoza,27-12-1994,1590042294,DeborahMendoza@gmail.com,6011417304281462,11/27,11 Khosla Circle,968576,Naihati,Uttarakhand,India,2015,771760452298,09:53:02
8,2AFE6AFE7,Vicki Lee,06-10-1975,3306016884,VickiLee@hotmail.com,30361534926357,04/24,08/731- Issac Chowk,768576,Dhule,Rajasthan,India,2010,892137658217,13:15:11
9,3ABD6ABD8,Joseph Ponce,20-10-1998,8757738930,JosephPonce@hotmail.com,3550824926947111,02/31,H.No. 320- Amble Road,809676,Bathinda,West Bengal,India,2012,275868809185,22:12:45
10,0CDC5CDC3,Evan Jones,17-09-1989,8967699300,EvanJones@hotmail.com,4894517446660221,05/26,50/076 Korpal Street,394857,Saharanpur,Uttar Pradesh,India,2016,109767017204,20:00:16
11,2BFE4BFE2,Brian Mitchell,02-03-1977,8536710979,BrianMitchell@yahoo.com,349426418306756,07/25,H.No. 10 Kibe Nagar,786565,Indore,Mizoram,India,2021,731886841261,15:04:23
12,2FBE2FBE3,Adrian Brown,01-10-1976,6207660754,AdrianBrown@yahoo.com,341505520351921,11/25,104- Sant Path,530493,Mahbubnagar,Haryana,India,2012,871754203556,09:46:48
